Country,Year,gdp_per_capita_constant_usd,primary_school_enrollment,under5_mortality_per_1000,basic_water_access_pct,basic_sanitation_access_pct,adolescent_fertility_rate,life_expectancy_birth,total_fertility_rate,population_growth,urban_population_pct
BWA,2002,5175.47655317231,109.583213806152,80.0,75.7326063221722,54.6351373300919,69.499,52.373,3.175,1.88080986109573,54.57
BWA,2003,5320.440295139,110.270523071289,78.5,75.9236020976699,55.9306253316382,67.841,52.851,3.106,1.75962550604573,55.029
BWA,2004,5369.42516766112,110.615211486816,76.3,76.112906198948,57.2354398758653,66.054,53.573,3.063,1.75338203751141,55.488
BWA,2005,5514.21742664705,111.46208190918,70.3,76.2993339260323,58.5484651662334,65.443,54.386,3.082,1.79499163132533,55.944
BWA,2006,5865.00026521361,112.33056640625,64.3,77.4073703599859,59.8707817877325,64.772,55.112,3.114,1.86517712065057,56.4
BWA,2007,6085.6354476126,111.439659118652,61.6,78.8983728293753,61.6023323152472,62.988,56.735,3.127,1.9381347493906,57.928
BWA,2008,6158.61629368051,110.978363037109,60.3,80.3421420672701,63.3424578727978,60.961,57.661,3.131,2.0082147581123,59.444
BWA,2009,5179.4138607146,111.213661193848,57.8,81.735162201203,65.0869031781855,59.023,58.297,3.133,2.06587846755776,60.937
BWA,2010,5584.50343260122,,55.8,83.0797687746127,66.8374083076875,57.38,59.137,3.135,2.10943597528371,62.412
BWA,2011,5850.07858485864,,56.8,84.3752251394181,68.5923179945414,55.416,59.715,3.103,1.96877479635498,63.865
BWA,2012,5742.919242654,107.411979939614,53.4,85.4679052832235,70.1498597100217,55.606,60.384,3.07,1.67774021157009,64.768
BWA,2013,6284.97677820877,105.315561116255,51.0,86.5076033139407,71.6801447936656,55.903,61.217,3.045,1.50921875015756,65.572
BWA,2014,6547.12253923766,101.616607294624,51.1,87.5224807709858,73.2176947943605,55.387,62.167,3.027,1.45441898422222,66.368
BWA,2015,6141.20394726616,101.623352050781,49.8,88.5124964559895,74.7620657947833,57.159,63.215,3.008,1.42753223737773,67.155
BWA,2016,6490.83463593483,,49.0,89.4779017317438,76.0173129165427,54.312,64.32,2.99,1.41970172619868,67.933
BWA,2017,6662.5764477869,,46.5,90.4185062142059,77.2692231997295,49.926,65.42,2.969,1.42047647332447,68.7
BWA,2018,6843.84612121161,,45.9,91.3326697358456,78.5138974205166,54.313,66.371,2.941,1.41898108514606,69.446
BWA,2019,6951.73188985979,,45.0,92.2214029742791,79.751688865621,56.259,67.167,2.906,1.42262847077389,70.172
BWA,2020,6254.24806377545,,43.9,92.3385777393314,80.026238683341,55.557,67.643,2.861,1.4394103578493,70.877
CAF,1990,519.786735961912,71.3577728271484,177.5,,,165.112,49.854,6.049,3.10993470955643,36.825
CAF,1991,500.991150890901,64.9651412963867,177.1,,,158.515,49.575,6.03,3.12894145604828,36.906
CAF,1992,454.148968239471,56.0248184204102,176.6,,,157.346,49.213,5.964,3.17660886218298,36.987
CAF,1993,441.384907508364,,176.0,,,155.507,48.899,5.926,3.18551160699761,37.068
CAF,1994,448.784442959801,,175.3,,,148.966,48.509,5.919,3.12114580888137,37.149
CAF,1995,468.150527620686,,174.5,,,145.693,48.109,5.943,2.7279293178596,37.231
CAF,1996,437.925054761723,,173.3,,,142.894,47.7,5.963,2.59191336397251,37.312
CAF,1997,448.634663639551,,172.0,,,138.89,47.284,5.924,2.74815236149256,37.394
CAF,1998,457.148858416438,,170.2,,,139.535,47.089,5.889,2.7130114137794,37.475
CAF,1999,460.827900216085,,168.0,,,140.648,46.91,5.875,2.73513141405881,37.557
CAF,2000,437.168928414826,,165.5,59.0104896097958,20.5939673265979,141.498,46.609,5.851,2.74955419856204,37.639
CAF,2001,446.658634192083,68.3127670288086,162.8,57.8285774419049,20.5472815173527,141.398,46.734,5.807,2.2204466205594,37.72
